num_mutants_per_round,round_num,median_fitness_scaled_mean,median_fitness_scaled_std,top_fitness_scaled_mean,top_fitness_scaled_std,fitness_binary_percentage_mean,fitness_binary_percentage_std,dataset,label
16,10,0.7845337568454178,0.03397236024454719,0.8978358202047805,0.05255953422994993,1.0,0.0,cas12f,esm2 650M
16,1,0.01842339821168126,0.014621111402575483,0.28824375630088983,0.1806032609474032,0.1411764705882353,0.07440653318043244,zikv_E,esm2 650M
16,2,0.02557251746225781,0.0244642041708699,0.30435784783343034,0.1737391715781291,0.15294117647058822,0.05682892841642917,zikv_E,esm2 650M
16,3,0.042404441499392,0.03567201960968428,0.4034920832243164,0.198585259655781,0.2117647058823529,0.08856148855400953,zikv_E,esm2 650M
16,4,0.048863165106697595,0.039213944957686486,0.4307456513014684,0.18443398552910806,0.2823529411764706,0.09920871090724324,zikv_E,esm2 650M
16,5,0.08161432913385538,0.041207350125159435,0.4630210309360555,0.18037297939735383,0.3941176470588235,0.1241658054822554,zikv_E,esm2 650M
16,6,0.12668667649949195,0.06149610105359908,0.4630210309360555,0.18037297939735383,0.4352941176470588,0.14462030521243746,zikv_E,esm2 650M
16,7,0.13316411613479773,0.07091074030277521,0.5459415179555016,0.21494425133802975,0.49411764705882355,0.17361524408767576,zikv_E,esm2 650M
16,8,0.1611667865051843,0.05291398810822841,0.5459415179555016,0.21494425133802975,0.5529411764705883,0.17361524408767576,zikv_E,esm2 650M
16,9,0.17188654857532326,0.0509236600707658,0.5609413916964296,0.21279076898851582,0.6352941176470588,0.18351935618506024,zikv_E,esm2 650M
16,10,0.19570500131108157,0.057494229105158494,0.5643869490120157,0.2133657479213919,0.6882352941176471,0.2057422492482302,zikv_E,esm2 650M
16,1,0.8939493949394939,0.013940706134587273,0.9301674612394573,0.021007799120727293,0.4588235294117647,0.18560250299920367,kelsic,esm2 650M
16,2,0.9032575480014667,0.014414639516031362,0.9431182007334067,0.020791198267885277,0.6176470588235293,0.26488737423737835,kelsic,esm2 650M
16,3,0.9124984721672167,0.013772351823140478,0.9431915414008067,0.02080128065207334,0.8,0.23886184051515388,kelsic,esm2 650M
16,4,0.9178462291162448,0.017792304912849926,0.9485148514851485,0.017050894636111633,0.8705882352941176,0.1917161813581226,kelsic,esm2 650M
16,5,0.9219349713237989,0.016536474154881534,0.950935093509351,0.0177217183858417,0.9,0.18194134446528698,kelsic,esm2 650M
16,6,0.9240190685735239,0.01604561655952154,0.952108544187752,0.017338515559820144,0.9235294117647058,0.16180926302570792,kelsic,esm2 650M
16,7,0.9273010634396772,0.015993397488321473,0.9536853685368538,0.015300364414698385,0.9411764705882353,0.12707334702760512,kelsic,esm2 650M
16,8,0.9308947561422809,0.015103857619728909,0.9560444933626696,0.015892483663060702,0.9882352941176471,0.024802177726810877,kelsic,esm2 650M
16,9,0.9324287984598459,0.014445953390976948,0.9567290062339568,0.016767073169032986,0.9882352941176471,0.03720326659021625,kelsic,esm2 650M
16,10,0.933993399339934,0.014954068834663116,0.9609460946094611,0.013742816062664922,1.0,0.0,kelsic,esm2 650M
16,1,0.38862773519864746,0.09693997566371289,0.6256409071565395,0.21252928958617384,0.07058823529411765,0.1169916383543239,brenan,esm2 650M
16,2,0.4926691952949934,0.12738028384100547,0.7160228533631268,0.22909725179031792,0.17058823529411765,0.23274765844272816,brenan,esm2 650M
16,3,0.5351371653229993,0.1528308952190582,0.7427995609644304,0.2105036363083866,0.2705882352941177,0.36069905215896214,brenan,esm2 650M
16,4,0.5875667131775414,0.13233648261237907,0.8255594838184326,0.17849693016943208,0.38235294117647056,0.3914208779936692,brenan,esm2 650M
16,5,0.6202351551811977,0.12113657072220252,0.8433412199482625,0.15767389303408613,0.4470588235294118,0.4270730475313563,brenan,esm2 650M
16,6,0.6510868878535992,0.10067743258897142,0.932088497350272,0.11377299294128865,0.5588235294117647,0.3532134026402318,brenan,esm2 650M
16,7,0.6949195356058006,0.07770946106299978,0.9361220578255024,0.10900997203649554,0.7,0.2927418803915469,brenan,esm2 650M
16,8,0.710262777053903,0.07800099723643711,0.9567528188454544,0.0922757434732641,0.8,0.2844151272857843,brenan,esm2 650M
16,9,0.7154757357767266,0.07926580296615941,0.957925617983477,0.09229607986723873,0.8470588235294118,0.3001985758275237,brenan,esm2 650M
16,10,0.7230619053477082,0.07298018336786484,0.957925617983477,0.09229607986723873,0.8764705882352942,0.29405228031792097,brenan,esm2 650M
16,1,0.8801601564169902,0.05743791711772032,0.9296477420822431,0.0109784668092209,0.15882352941176467,0.11109188607227681,stiffler,esm2 650M
16,2,0.9052612644868516,0.004002489871435733,0.9326366744944184,0.00840013424543662,0.20588235294117646,0.10828785310967902,stiffler,esm2 650M
16,3,0.9108292086117096,0.005733300564691096,0.9359776890745893,0.006126910501105912,0.3529411764705882,0.17093721347218324,stiffler,esm2 650M
16,4,0.913395940431589,0.004049309399159026,0.9358120971861897,0.009071921343453726,0.38235294117647056,0.18236348272292424,stiffler,esm2 650M
