Feature,Importance
Feature 1372,106027.60721185982
Feature 1431,105953.90787947542
Feature 511,105743.82859535635
Feature 2060,105705.41527234332
Feature 3162,105655.41005257863
Feature 3428,105636.64354586366
Feature 15,105614.15001474429
Feature 3378,105606.21403915607
Feature 940,105606.08273579045
Feature 3963,105592.0922560376
Feature 3714,105564.95245483401
Feature 2535,105552.8235665942
Feature 2494,105318.24782495601
Feature 3971,105276.72005846421
Feature 524,105093.33249256117
Feature 449,104980.13749926274
Feature 1449,104556.69462510847
Feature 4225,104482.80238159459
Feature 4403,104430.54918721915
Feature 2128,104319.78706022851
Feature 1696,104297.89732782127
Feature 1394,104226.67393516799
Feature 1954,104095.80878646544
Feature 3455,104018.38001329251
Feature 3551,103938.88361262911
Feature 3828,103869.80857798041
Feature 4356,103861.97551897963
Feature 3747,103854.11344504272
Feature 3101,103714.3143683983
Feature 3155,103710.92757335807
Feature 61,103515.49647338837
Feature 2981,103399.63262677353
Feature 1128,103361.77704762871
Feature 4365,103329.63390849186
Feature 2341,103120.56874993478
Feature 4841,103096.76909681743
Feature 935,102639.53435489247
Feature 2705,102583.2730504992
Feature 1423,102288.37317937755
Feature 4463,102250.07959355872
Feature 4236,102216.14998364984
Feature 4308,102179.63150324626
Feature 1956,101922.61474062045
Feature 2024,101884.24188330304
Feature 3555,101840.74015186439
Feature 627,101839.67716465858
Feature 3322,101810.43943768376
Feature 3508,101786.75582815934
Feature 1041,101773.74775619786
Feature 4877,101635.27496094292
Feature 979,101541.71442917362
Feature 464,101491.01940415431
Feature 630,101436.95381599265
Feature 3453,101267.29613738196
Feature 2670,101226.51283609544
Feature 2882,101042.32219467378
Feature 2229,100857.73123284022
Feature 3475,100554.98248165016
Feature 2006,100389.72550863157
Feature 2085,100364.07926373015
Feature 2949,100357.93802043206
Feature 2424,100172.66807244747
Feature 2080,100064.39415835118
Feature 2688,99993.80782090905
Feature 4933,99982.04850172967
Feature 4230,99971.82548943609
Feature 4558,99923.69104160991
Feature 2343,99749.36499696488
Feature 591,99683.61927542616
Feature 813,99586.71852865432
Feature 1877,99350.4255049695
Feature 1381,99033.88690762053
Feature 3084,98992.98343811257
Feature 687,98501.64008809505
Feature 807,98336.97788365986
Feature 2332,98126.87924599655
Feature 4502,98124.65862225746
Feature 4694,98038.73634751292
Feature 4411,97856.23291928302
Feature 2365,97840.08116988385
Feature 2993,97832.46613514736
Feature 3711,97748.40078170833
Feature 1318,97734.23722665806
Feature 4787,97718.051675764
Feature 869,97626.0302002333
Feature 1828,97587.20215981263
Feature 4154,97437.69885768744
Feature 3787,97191.20268488853
Feature 364,97136.65308449001
Feature 3,97025.13046422198
Feature 3983,96808.3488428273
Feature 1994,96806.6175870384
Feature 1095,96760.14438120046
Feature 36,96746.61196238562
Feature 3046,96514.23935981948
Feature 1387,96491.25246526956
Feature 188,96435.20373547127
Feature 3088,96425.48163755063
Feature 3900,96416.85450265747
Feature 4448,96410.99788261336
Feature 2303,96373.72282724403
Feature 3043,96343.262460048
Feature 4319,96277.7957907705
Feature 3696,95948.80999020285
Feature 2195,95795.52060741889
Feature 3512,95763.5152287655
Feature 1197,95716.97633313376
Feature 2626,95658.51299905466
Feature 3567,95452.27304048417
Feature 1432,95217.53926642396
Feature 1511,95155.8261789423
Feature 2117,94981.98973163184
Feature 3532,94666.74812210005
Feature 2423,94651.7588140345
Feature 3126,94648.86424993715
Feature 3833,94418.33074605548
Feature 4575,94417.3210434761
Feature 2299,94298.54257443079
Feature 1678,94091.96006911337
Feature 2560,94070.49612907298
Feature 1021,93994.62912775803
Feature 2189,93895.35169709814
Feature 4067,93785.32426403074
Feature 3562,93756.13341421033
Feature 307,93691.81526430722
Feature 3647,93659.25008149532
Feature 909,93652.85264491879
Feature 661,93600.64273278115
Feature 3328,93505.98887362334
Feature 4512,93431.61678003783
Feature 4619,93410.52831068503
Feature 1196,93399.25277751237
Feature 2998,93383.4373229413
Feature 345,93292.0282247901
